STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORATE,TURNOUT (%),TOTAL BALLOT ISSUED
PERLIS,P. 001,PADANG BESAR,46096,81.2,37432
PERLIS,P. 002,KANGAR,55938,81.7,45703
PERLIS,P. 003,ARAU,48187,83.91,40433
KEDAH,P. 004,LANGKAWI,42697,82.56,35250
KEDAH,P. 005,JERLUN,54132,82.8,44822
KEDAH,P. 006,KUBANG PASU,73881,83.18,61452
KEDAH,P. 007,PADANG TERAP,46644,85.61,39932
KEDAH,P. 008,POKOK SENA,86892,82.76,71910
KEDAH,P. 009,ALOR SETAR,80272,81.09,65096
KEDAH,P. 010,KUALA KEDAH,97753,82.41,80555
KEDAH,P. 011,PENDANG,74867,84.64,63371
KEDAH,P. 012,JERAI,79976,83.68,66920
KEDAH,P. 013,SIK,50385,84.89,42772
KEDAH,P. 014,MERBOK,87782,82.83,72708
KEDAH,P. 015,SUNGAI PETANI,112577,83.36,93847
KEDAH,P. 016,BALING,107213,85.93,92128
KEDAH,P. 017,PADANG SERAI,84834,83.88,71157
KEDAH,P. 018,KULIM-BANDAR BAHARU,66587,83.18,55390
KELANTAN,P. 019,TUMPAT,110924,79.99,88733
KELANTAN,P. 020,PENGKALAN CHEPA,75384,80.74,60862
KELANTAN,P. 021,KOTA BHARU,88708,77,68306
KELANTAN,P. 022,PASIR MAS,71222,77.67,55319
KELANTAN,P. 023,RANTAU PANJANG,66115,75.08,49639
KELANTAN,P. 024,KUBANG KERIAN,82018,79.09,64867
KELANTAN,P. 025,BACHOK,92606,82.01,75945
KELANTAN,P. 026,KETEREH,65238,83.39,54404
KELANTAN,P. 027,TANAH MERAH,73172,81.45,59598
KELANTAN,P. 028,PASIR PUTEH,85411,81.66,69745
KELANTAN,P. 029,MACHANG,68387,82.35,56320
KELANTAN,P. 030,JELI,47470,83.48,39627
KELANTAN,P. 031,KUALA KRAI,70348,80,56278
KELANTAN,P. 032,GUA MUSANG,52524,78.45,41206
TERENGGANU,P. 033,BESUT,86627,83.49,72323
TERENGGANU,P. 034,SETIU,86247,85.42,73673
TERENGGANU,P. 035,KUALA NERUS,83663,87.51,73211
TERENGGANU,P. 036,KUALA TERENGGANU,103611,84.73,87786
TERENGGANU,P. 037,MARANG,104898,87.75,92046
TERENGGANU,P. 038,HULU TERENGGANU,73487,86.31,63428
