state,registered_voters,voted,turnout_percent
Johor,1817999,1535927,84.48
Kedah,1146492,957310,83.5
Kelantan,1049527,840849,80.12
Melaka,494662,420301,84.97
Negeri Sembilan,607793,506699,83.37
Pahang,823981,676492,82.1
Perak,1510864,1214412,80.38
Perlis,150221,123568,82.26
Pulau Pinang,945627,800080,84.61
Sabah,1117337,866456,77.55
Sarawak,1220960,894415,73.26
Selangor,2415074,2082179,86.22
Terengganu,736632,631180,85.68
Wilayah Persekutuan Kuala Lumpur,847793,703589,82.99
Wilayah Persekutuan Labuan,28356,21729,76.63
Wilayah Persekutuan Putrajaya,27306,24881,91.12
