election,state,registered_voters,voted,turnout_percent
GE15,Johor,2616575,1975004,75.48
GE15,Kedah,1575805,1223969,77.67
GE15,Kelantan,1404763,1006958,71.68
GE15,Melaka,657324,520923,79.25
GE15,Negeri Sembilan,850865,667735,78.48
GE15,Pahang,1136944,885608,77.89
GE15,Perak,2036872,1506442,73.96
GE15,Perlis,195927,150653,76.89
GE15,Pulau Pinang,1226626,956089,77.94
GE15,Sabah,1689387,1087825,64.39
GE15,Sarawak,1943074,1197450,61.63
GE15,Selangor,3677848,2962132,80.54
GE15,Terengganu,922856,748473,81.1
GE15,W.P. Kuala Lumpur,1151407,862315,74.89
GE15,W.P. Labuan,44484,28762,64.66
GE15,W.P. Putrajaya,42881,36969,86.21
GE14,Johor,1817999,1535927,84.48
GE14,Kedah,1146492,957310,83.5
GE14,Kelantan,1049527,840849,80.12
GE14,Melaka,494662,420301,84.97
GE14,Negeri Sembilan,607793,506699,83.37
GE14,Pahang,823981,676492,82.1
GE14,Perak,1510864,1214412,80.38
GE14,Perlis,150221,123568,82.26
GE14,Pulau Pinang,945627,800080,84.61
GE14,Sabah,1117337,866456,77.55
GE14,Sarawak,1220960,894415,73.26
GE14,Selangor,2415074,2082179,86.22
GE14,Terengganu,736632,631180,85.68
GE14,W.P. Kuala Lumpur,847793,703589,82.99
GE14,W.P. Labuan,28356,21729,76.63
GE14,W.P. Putrajaya,27306,24881,91.12
